AC	Acre	152,5
AL	Alagoas	27,7
AM	Amazonas	1570,7
AP	Amapá	142,8
BA	Bahia	564,6
CE	Ceará	148,8
DF	Distrito Federal	5,8
ES	Espírito Santo	46
GO	Goiás	340
MA	Maranhão	332
MG	Minas Gerais	587,5
MS	Mato Grosso do Sul	357,1
MT	Mato Grosso	903,3
PA	Pará	1247,6
PB	Paraíba	56,4
PE	Pernambuco	98,3
PI	Piauí	251,5
PR	Paraná	199,3
RJ	Rio de Janeiro	43,6
RN	Rio Grande do Norte	52,8
RO	Rondônia	237,5
RR	Roraima	224,2
RS	Rio Grande do Sul	281,7
SC	Santa Catarina	95,3
SE	Sergipe	21,9
SP	São Paulo	248,2
TO	Tocantins	277,6
